PLAYER_ID,FG_PCT,FG3_PCT
1630639,0.436,0.422
1631260,0.424,0.419
1642358,0.324,0.211
203932,0.497,0.389
1628988,0.417,0.394
1630174,0.414,0.379
1630598,0.431,0.356
1642846,0.443,0.344
1642380,0.412,0.409
1641737,0.595,0.333
1642876,0.516,0.333
1642349,0.485,0.347
201143,0.426,0.361
1630828,0.375,0.286
1627936,0.423,0.293
1631457,0.429,0.0
1642259,0.482,0.333
1642918,0.32,0.19
1631214,0.615,0.357
1630578,0.519,0.305
1642873,0.5,0.0
1641708,0.534,0.216
1629599,0.487,0.347
1643158,0.31,0.077
203083,0.472,0.356
1641748,0.328,0.25
1629614,0.442,0.361
203952,0.475,0.414
1629014,0.44,0.385
1641710,0.447,0.333
203076,0.506,0.27
1630162,0.489,0.399
1630264,0.628,0.354
1641810,0.5,0.538
1630574,0.563,0.25
1642854,0.538,0.387
1641709,0.525,0.25
1630559,0.49,0.36
1630245,0.517,0.439
1628389,0.442,0.318
1631248,0.453,0.399
1642879,0.396,0.211
1641767,0.434,0.362
1631097,0.43,0.315
1643016,0.5,0.194
1641731,0.425,0.319
202687,0.6,0.0
1642396,0.513,0.468
1631104,0.452,0.278
1626171,0.488,0.456
1641752,0.333,0.308
203992,0.388,0.347
1630538,0.453,0.388
203078,0.375,0.368
1642382,0.527,0.36
1641764,0.455,0.371
1629634,0.333,0.0
1627742,0.477,0.382
1641706,0.435,0.383
1630314,0.472,0.232
1641729,0.46,0.367
1642355,0.409,0.386
201572,0.428,0.36
1642964,0.38,0.292
1628971,0.475,0.385
1631121,0.481,0.409
1642267,0.424,0.408
1631205,0.333,0.333
1627741,0.437,0.349
1643047,0.545,0.0
203468,0.455,0.375
1630595,0.461,0.342
1631216,0.538,0.524
1631126,0.388,0.318
1628997,0.45,0.351
1642353,0.381,0.245
1642285,0.473,0.449
1630560,0.41,0.31
1641715,0.456,0.286
1629661,0.48,0.43
1626166,0.376,0.33
1627747,0.417,0.333
1642868,0.408,0.335
1641717,0.432,0.351
1642907,0.471,0.338
1643052,0.543,0.3
1629646,0.66,0.0
1642404,0.315,0.284
1631096,0.557,0.362
1628449,0.32,0.133
1641753,0.571,0.0
1643024,0.333,0.0
101108,0.321,0.333
1642959,0.349,0.333
1631128,0.519,0.301
1631132,0.419,0.111
1642935,0.0,0.0
203991,0.52,0.5
1629632,0.446,0.362
1628998,0.2,0.0
1642262,0.468,0.214
1641732,0.333,0.0
1630175,0.424,0.306
1630658,0.4,0.0
1631221,0.418,0.401
1642867,0.579,0.34
1629012,0.485,0.401
1642843,0.468,0.295
1630557,0.467,0.367
1642504,0.52,0.458
1641854,0.45,0.355
1642938,0.407,0.333
1626156,0.405,0.295
1629610,0.579,0.444
1641747,0.508,0.444
1631342,0.43,0.333
1630625,0.333,0.0
1631207,0.439,0.364
1642261,0.455,0.342
1629655,0.655,0.0
1642450,0.408,0.374
1642874,0.405,0.322
203967,0.167,0.333
1641727,0.398,0.317
1642468,0.0,0.0
1629636,0.46,0.396
1642357,0.52,0.6
1631223,0.5,0.273
1630558,0.49,0.395
1630549,0.601,0.231
1628368,0.486,0.332
1629631,0.415,0.305
1629001,0.407,0.294
201599,0.656,0.0
1630610,0.398,0.133
201942,0.497,0.32
1629731,0.439,0.362
1629028,0.671,0.0
1627749,0.484,0.306
1630166,0.462,0.318
203471,0.405,0.329
1641726,0.611,0.0
1642852,0.473,0.261
1627884,0.499,0.359
